"","Member type","station_id","month_year","rides","station_name","station_loc","station_loc_text","Latitude","Longitude"
"1","casual","13001","May-21",1905,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"2","casual","13001","Jun-21",2259,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"3","casual","13001","Jul-21",2592,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"4","casual","13001","Aug-21",1882,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"5","casual","13001","Sep-21",1629,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"6","casual","13001","Oct-21",1199,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"7","casual","13001","Nov-21",590,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"8","casual","13001","Dec-21",331,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"9","casual","13001","Jan-22",78,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"10","casual","13001","Feb-22",79,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"11","casual","13001","Mar-22",531,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"12","casual","13001","Apr-22",665,"Michigan Ave & Washington St","POINT(-87.6246839761734 41.8839840647265)","41.883984064726505,-87.6246839761734",41.8839840647265,-87.6246839761734
"13","casual","13006","May-21",365,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"14","casual","13006","Jun-21",416,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"15","casual","13006","Jul-21",573,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"16","casual","13006","Aug-21",549,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"17","casual","13006","Sep-21",448,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"18","casual","13006","Oct-21",393,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"19","casual","13006","Nov-21",163,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"20","casual","13006","Dec-21",113,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"21","casual","13006","Jan-22",40,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"22","casual","13006","Feb-22",44,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"23","casual","13006","Mar-22",130,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"24","casual","13006","Apr-22",206,"LaSalle St & Washington St","POINT(-87.63253 41.882664)","41.882664,-87.63253",41.882664,-87.63253
"25","casual","13008","May-21",4107,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"26","casual","13008","Jun-21",5070,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"27","casual","13008","Jul-21",6348,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"28","casual","13008","Aug-21",5243,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"29","casual","13008","Sep-21",4124,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"30","casual","13008","Oct-21",3223,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"31","casual","13008","Nov-21",983,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"32","casual","13008","Dec-21",694,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"33","casual","13008","Jan-22",79,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"34","casual","13008","Feb-22",169,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"35","casual","13008","Mar-22",1161,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"36","casual","13008","Apr-22",1438,"Millennium Park","POINT(-87.62408432 41.8810317)","41.881031700000008,-87.62408432",41.8810317,-87.62408432
"37","casual","13011","May-21",495,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"38","casual","13011","Jun-21",786,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"39","casual","13011","Jul-21",1023,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"40","casual","13011","Aug-21",885,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"41","casual","13011","Sep-21",694,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"42","casual","13011","Oct-21",651,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"43","casual","13011","Nov-21",320,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"44","casual","13011","Dec-21",196,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"45","casual","13011","Jan-22",50,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"46","casual","13011","Feb-22",69,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"47","casual","13011","Mar-22",214,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"48","casual","13011","Apr-22",361,"Canal St & Adams St","POINT(-87.639904 41.879255)","41.879255,-87.639904000000016",41.879255,-87.639904
"49","casual","13016","May-21",894,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"50","casual","13016","Jun-21",1536,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"51","casual","13016","Jul-21",2234,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"52","casual","13016","Aug-21",1749,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"53","casual","13016","Sep-21",1568,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"54","casual","13016","Oct-21",1194,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"55","casual","13016","Nov-21",395,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"56","casual","13016","Dec-21",284,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"57","casual","13016","Jan-22",67,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"58","casual","13016","Feb-22",97,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"59","casual","13016","Mar-22",361,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"60","casual","13016","Apr-22",469,"St. Clair St & Erie St","POINT(-87.6227983832359 41.8943451374243)","41.89434513742426,-87.622798383235946",41.8943451374243,-87.6227983832359
"61","casual","13017","May-21",534,"Franklin St & Chicago Ave","POINT(-87.6356676220894 41.8967469730938)","41.896746973093805,-87.635667622089386",41.8967469730938,-87.6356676220894
"62","casual","13017","Jun-21",813,"Franklin St & Chicago Ave","POINT(-87.6356676220894 41.8967469730938)","41.896746973093805,-87.635667622089386",41.8967469730938,-87.6356676220894
